CustomerNo,TransactionNo,ProductCount
12004,551004,104
12006,552006,2
12008,546008,421
12013,539013,3
12024,557024,14
12025,545025,78
12026,540026,1679
12031,569031,20
12042,547042,460
12043,559043,96
12050,560050,13
12057,568057,357
12057,575057,1
12060,538060,3
12063,552063,4
12067,578067,1084
12071,538071,1640
12078,545078,185
12080,556080,1014
12081,539081,1
12082,544082,3
12087,556087,53
12089,547089,99
12090,556090,58
12093,556093,146
12100,549100,759
12115,542115,112
12115,580115,1986
12116,558116,147
12120,558120,34
12128,541128,30
12130,575130,5
12134,568134,585
12151,557151,18
12154,540154,732
12160,563160,1
12161,559161,4
12165,548165,91
12167,548167,95
12171,543171,137
12174,573174,10
12185,572185,564
12202,569202,522
12204,550204,39
12205,550205,68
12214,544214,718
12221,541221,483
12221,564221,795
12230,564230,1191
12231,557231,379
12236,558236,6
12237,537237,1607
12240,558240,292
12242,539242,44
12242,558242,1
12245,539245,33
12245,560245,213
12251,537251,103
12252,537252,31
12253,537253,178
12255,542255,406
12256,571256,1
12256,581256,1074
12278,550278,599
12286,565286,129
12290,560290,49
12293,546293,12
12293,554293,74
12309,574309,1
12321,548321,4
12321,555321,31
12324,544324,4
12324,555324,70
12324,557324,371
12325,551325,8
12336,555336,55
12338,552338,65
12340,551340,355
12346,541431,74215
12346,C541433,74215
12347,537626,319
12347,542237,315
12347,549222,483
12347,556201,196
12347,562032,277
12347,573511,676
12347,578347,1513
12347,581180,192
12348,539318,1248
12348,541998,600
12348,548955,268
12348,568172,216
12349,577609,630
12350,543037,196
12350,562350,2
12352,544156,98
12352,545323,25
12352,546869,63
12352,547390,63
12352,567505,101
12352,568699,51
12352,574275,125
12352,C547388,63
12353,553900,20
12354,550911,530
12355,552449,240
12356,540356,117
12356,541430,1198
12356,549435,370
12356,576895,5
12357,574740,2699
12358,559707,86
12358,577358,1620
12358,581232,120
12359,540946,144
12359,543370,465
12359,555477,356
12359,571034,657
12359,C549955,4
12359,C580165,6
12360,554132,430
12360,563749,238
12360,571705,488
12361,545017,90
12362,544203,226
12362,551346,272
12362,559295,142
12362,563037,337
12362,568651,260
12362,570667,160
12362,572887,203
12362,573173,164
12362,574329,206
12362,580979,218
12362,C544902,2
12362,C563752,8
12362,C579178,7
12363,549687,282
12363,563947,126
12364,546364,126
12364,563854,552
12364,567897,180
12364,573401,266
12364,580152,501
12365,544574,173
12367,560367,1
12367,580716,172
12370,538826,917
12370,539330,48
12370,546236,1005
12370,571905,380
12371,570521,582
12372,544157,222
12372,552731,366
12372,568872,200
12373,542887,196
12373,548373,451
12374,576345,339
12375,565333,86
12375,579281,90
12375,C581071,1
12377,539488,604
12377,542586,338
12378,562046,2529
12379,557789,208
12379,567196,194
12379,C559193,1
12380,555739,290
12380,567928,287
12380,571187,226
12380,577180,307
12380,C572532,1
12381,563100,562
12381,574694,144
12381,580638,91
12381,C565050,25
12383,539840,751
12383,540971,586
12383,546434,87
12383,550284,76
12383,555928,18
12383,C541586,3
12384,562882,60
12384,575734,59
12384,C567540,5
12386,537676,214
12386,540280,140
12387,553387,380
12388,541271,204
12388,543357,37
12388,546135,90
12388,560033,429
12388,568145,478
12388,578459,224
12390,567530,350
12391,577228,300
12393,540700,238
12393,541149,60
12393,546393,1
12393,547393,15
12393,549313,224
12393,568708,294
12394,552188,180
